,Descripcion,AutoservicioBajo,AutoservicioAlto,RuedasBajo,RuedasAlto,PublicoBajo,PublicoAlto,CedaBajo,CedaAlto
0,Aceite Mixto,28.00,31.50,38.00,42.00,28.00,30.00,0.00,0.00
1,Arroz largo,19.90,26.50,25.00,35.00,20.00,22.00,0.00,0.00
2,Azúcar Estándar,28.50,29.00,22.00,30.00,20.00,22.00,0.00,0.00
3,Harina de Trigo,9.50,10.50,14.00,20.00,15.00,18.00,0.00,0.00
4,Frijol Flor de Mayo,32.00,42.50,40.00,60.00,40.00,40.00,0.00,0.00
5,Frijol Negro,22.80,245.85,40.00,55.00,30.00,35.00,0.00,0.00
6,Huevo Blanco,35.70,37.00,30.00,35.00,30.00,35.00,0.00,0.00
7,Carne Molida Sirloin 90-10,99.00,198.90,160.00,186.00,145.00,160.00,0.00,0.00
8,Bistec Diezmillo de Res,179.00,189.90,160.00,186.00,160.00,175.00,0.00,0.00
9,Aguacate Hass,34.90,79.90,50.00,70.00,60.00,80.00,0.00,0.00
10,Limón con semilla,30.90,34.90,25.00,50.00,20.00,25.00,0.00,0.00
11,Guayaba,30.90,49.90,25.00,30.00,20.00,25.00,0.00,0.00
12,Manzana Golden,56.00,69.90,35.00,50.00,26.00,35.00,0.00,0.00
13,Manzana Starking,30.90,39.90,30.00,50.00,40.00,45.00,0.00,0.00
14,Naranja mediana,23.90,34.90,10.00,15.00,15.00,15.00,0.00,0.00
15,Papaya maradol,20.90,29.90,25.00,30.00,20.00,24.00,0.00,0.00
16,Piña,16.50,21.90,20.00,50.00,30.00,30.00,0.00,0.00
17,Plátano,7.90,12.90,15.00,25.00,18.00,20.00,0.00,0.00
18,Sandía,10.00,12.90,20.00,20.00,15.00,15.00,0.00,0.00
19,Calabacita Italiana,26.80,35.90,20.00,24.00,18.00,20.00,0.00,0.00
20,Chile poblano,25.50,39.90,30.00,40.00,25.00,35.00,0.00,0.00
21,Chile serrano,34.82,39.90,40.00,60.00,40.00,48.00,0.00,0.00
22,Cebolla bola,18.90,19.90,20.00,20.00,18.00,18.00,0.00,0.00
23,Chayote sin espina,13.50,44.90,16.00,20.00,20.00,25.00,0.00,0.00
24,Jitomate Saladette,19.90,29.90,25.00,35.00,18.00,20.00,0.00,0.00
25,Lechuga romana,16.90,19.90,15.00,20.00,15.00,15.00,0.00,0.00
26,Papa alpha,16.90,29.90,18.00,20.00,18.00,20.00,0.00,0.00
27,Pepino,17.90,21.90,16.00,20.00,16.00,18.00,0.00,0.00
28,Tomate verde,21.00,26.90,20.00,30.00,18.00,18.00,0.00,0.00
29,Zanahoria mediana,12.80,16.90,14.00,16.00,10.00,14.00,0.00,0.00
30,Aceite Mixto,28.00,31.50,38.00,42.00,28.00,30.00,0.00,0.00
31,Arroz largo,19.90,26.50,25.00,35.00,20.00,22.00,0.00,0.00
32,Azúcar Estándar,28.50,29.00,22.00,30.00,20.00,22.00,0.00,0.00
33,Harina de Trigo,9.50,10.50,14.00,20.00,15.00,18.00,0.00,0.00
34,Frijol Flor de Mayo,32.00,42.50,40.00,60.00,40.00,40.00,0.00,0.00
35,Frijol Negro,22.80,245.85,40.00,55.00,30.00,35.00,0.00,0.00
36,Huevo Blanco,35.70,37.00,30.00,35.00,30.00,35.00,0.00,0.00
37,Carne Molida Sirloin 90-10,99.00,198.90,160.00,186.00,145.00,160.00,0.00,0.00
38,Bistec Diezmillo de Res,179.00,189.90,160.00,186.00,160.00,175.00,0.00,0.00
39,Aguacate Hass,34.90,79.90,50.00,70.00,60.00,80.00,0.00,0.00
40,Limón con semilla,30.90,34.90,25.00,50.00,20.00,25.00,0.00,0.00
41,Guayaba,30.90,49.90,25.00,30.00,20.00,25.00,0.00,0.00
42,Manzana Golden,56.00,69.90,35.00,50.00,26.00,35.00,0.00,0.00
43,Manzana Starking,30.90,39.90,30.00,50.00,40.00,45.00,0.00,0.00
44,Naranja mediana,23.90,34.90,10.00,15.00,15.00,15.00,0.00,0.00
45,Papaya maradol,20.90,29.90,25.00,30.00,20.00,24.00,0.00,0.00
46,Piña,16.50,21.90,20.00,50.00,30.00,30.00,0.00,0.00
47,Plátano,7.90,12.90,15.00,25.00,18.00,20.00,0.00,0.00
48,Sandía,10.00,12.90,20.00,20.00,15.00,15.00,0.00,0.00
49,Calabacita Italiana,26.80,35.90,20.00,24.00,18.00,20.00,0.00,0.00
50,Chile poblano,25.50,39.90,30.00,40.00,25.00,35.00,0.00,0.00
51,Chile serrano,34.82,39.90,40.00,60.00,40.00,48.00,0.00,0.00
52,Cebolla bola,18.90,19.90,20.00,20.00,18.00,18.00,0.00,0.00
